trace,len,percentage,Variant_Name,len_trace
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED)",33673,36.57643761812692,Variant_0,6
NEW,22373,24.302100758184704,Variant_1,1
"(NEW,FIN,RELEASE,""CODE OK"",BILLED)",20902,22.704264517390456,Variant_2,5
"(NEW,DELETE)",4813,5.227998522734679,Variant_3,2
"(NEW,FIN)",3508,3.8104755490864854,Variant_4,2
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED)",2121,2.3038821663661446,Variant_5,7
"(NEW,""CHANGE DIAGN"",DELETE)",1555,1.689079098868154,Variant_6,3
"(NEW,FIN,RELEASE,""CODE NOK"",BILLED)",977,1.0612413373596055,Variant_7,5
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",869,0.9439290912645827,Variant_8,10
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,""CODE OK"")",512,0.556146944450479,Variant_9,6
"(NEW,FIN,RELEASE,""CODE NOK"",EMPTY)",400,0.4344898003519368,Variant_10,5
"(NEW,FIN,RELEASE,BILLED)",359,0.3899545958158632,Variant_11,4
