trace,len,percentage,Variant_Name,len_trace
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED)",33673,34.1871751137102,Variant_0,6
NEW,22373,22.714628005198183,Variant_1,1
"(NEW,FIN,RELEASE,""CODE OK"",BILLED)",20902,21.221166341780375,Variant_2,5
"(NEW,DELETE)",4813,4.8864928525016245,Variant_3,2
"(NEW,FIN)",3508,3.5615659519168292,Variant_4,2
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED)",2121,2.15338693957115,Variant_5,7
"(NEW,""CHANGE DIAGN"",DELETE)",1555,1.5787443144899285,Variant_6,3
"(NEW,FIN,RELEASE,""CODE NOK"",BILLED)",977,0.9919184535412606,Variant_7,5
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",869,0.8822693307342431,Variant_8,10
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,""CODE OK"")",512,0.5198180636777128,Variant_9,6
"(NEW,FIN,RELEASE,""CODE NOK"",EMPTY)",400,0.4061078622482131,Variant_10,5
"(NEW,FIN,RELEASE,BILLED)",359,0.3644818063677713,Variant_11,4
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,BILLED)",314,0.3187946718648473,Variant_12,9
"(NEW,FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",273,0.27716861598440545,Variant_13,9
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",272,0.2761533463287849,Variant_14,13
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,BILLED)",256,0.2599090318388564,Variant_15,8
"(NEW,FIN,RELEASE,""CODE NOK"",""SET STATUS"")",230,0.23351202079272254,Variant_16,5
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",REOPEN,DELETE)",229,0.232496751137102,Variant_17,7
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,STORNO,BILLED)",214,0.21726770630279402,Variant_18,7
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE NOK"",""CODE OK"",BILLED)",206,0.20914554905782975,Variant_19,7
"(NEW,FIN,RELEASE,""CODE OK"",REOPEN,DELETE)",204,0.2071150097465887,Variant_20,6
"(NEW,FIN,RELEASE,""CODE NOK"",REOPEN,DELETE)",176,0.17868745938921377,Variant_21,6
"(NEW,FIN,DELETE)",166,0.16853476283300844,Variant_22,3
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,REOPEN,DELETE)",165,0.1675194931773879,Variant_23,9
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,""CODE OK"")",162,0.1644736842105263,Variant_24,7
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED)",160,0.16244314489928524,Variant_25,8
"(NEW,FIN,RELEASE,""CODE OK"",""CODE OK"",BILLED)",140,0.1421377517868746,Variant_26,6
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,BILLED)",131,0.1330003248862898,Variant_27,8
"(NEW,FIN,RELEASE,DELETE)",125,0.1269087069525666,Variant_28,4
"(NEW,FIN,RELEASE,""CODE OK"",RELEASE,""CODE OK"",BILLED)",110,0.11167966211825861,Variant_29,7
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,BILLED,STORNO,BILLED)",104,0.1055880441845354,Variant_30,10
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",98,0.0994964262508122,Variant_31,9
"(NEW,FIN,RELEASE,""CODE NOK"",""CODE OK"",BILLED)",97,0.09848115659519167,Variant_32,6
"(NEW,FIN,RELEASE)",91,0.09238953866146848,Variant_33,3
