trace,len,percentage,Variant_Name,len_trace
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED)",33673,33.672999999999995,Variant_0,6
NEW,22373,22.373,Variant_1,1
"(NEW,FIN,RELEASE,""CODE OK"",BILLED)",20902,20.902,Variant_2,5
"(NEW,DELETE)",4813,4.813,Variant_3,2
"(NEW,FIN)",3508,3.508,Variant_4,2
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED)",2121,2.121,Variant_5,7
"(NEW,""CHANGE DIAGN"",DELETE)",1555,1.555,Variant_6,3
"(NEW,FIN,RELEASE,""CODE NOK"",BILLED)",977,0.9769999999999999,Variant_7,5
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",869,0.869,Variant_8,10
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,""CODE OK"")",512,0.512,Variant_9,6
"(NEW,FIN,RELEASE,""CODE NOK"",EMPTY)",400,0.4,Variant_10,5
"(NEW,FIN,RELEASE,BILLED)",359,0.359,Variant_11,4
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,BILLED)",314,0.314,Variant_12,9
"(NEW,FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",273,0.27299999999999996,Variant_13,9
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",272,0.272,Variant_14,13
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,BILLED)",256,0.256,Variant_15,8
"(NEW,FIN,RELEASE,""CODE NOK"",""SET STATUS"")",230,0.22999999999999998,Variant_16,5
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",REOPEN,DELETE)",229,0.22899999999999998,Variant_17,7
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,STORNO,BILLED)",214,0.214,Variant_18,7
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE NOK"",""CODE OK"",BILLED)",206,0.20600000000000002,Variant_19,7
"(NEW,FIN,RELEASE,""CODE OK"",REOPEN,DELETE)",204,0.20400000000000001,Variant_20,6
"(NEW,FIN,RELEASE,""CODE NOK"",REOPEN,DELETE)",176,0.17600000000000002,Variant_21,6
"(NEW,FIN,DELETE)",166,0.166,Variant_22,3
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,REOPEN,DELETE)",165,0.165,Variant_23,9
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,""CODE OK"")",162,0.16199999999999998,Variant_24,7
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED)",160,0.16,Variant_25,8
"(NEW,FIN,RELEASE,""CODE OK"",""CODE OK"",BILLED)",140,0.13999999999999999,Variant_26,6
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,BILLED)",131,0.131,Variant_27,8
