trace,len,percentage,Variant_Name,len_trace
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED)",33673,34.54349610176447,Variant_0,6
NEW,22373,22.95137464095199,Variant_1,1
"(NEW,FIN,RELEASE,""CODE OK"",BILLED)",20902,21.44234714813295,Variant_2,5
"(NEW,DELETE)",4813,4.9374230611407475,Variant_3,2
"(NEW,FIN)",3508,3.598686910135412,Variant_4,2
"(NEW,""CHANGE DIAGN"",""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED)",2121,2.1758309396799342,Variant_5,7
"(NEW,""CHANGE DIAGN"",DELETE)",1555,1.5951990151826017,Variant_6,3
"(NEW,FIN,RELEASE,""CODE NOK"",BILLED)",977,1.0022568732047599,Variant_7,5
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",869,0.8914649158801805,Variant_8,10
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,""CODE OK"")",512,0.5252359458350431,Variant_9,6
"(NEW,FIN,RELEASE,""CODE NOK"",EMPTY)",400,0.4103405826836274,Variant_10,5
"(NEW,FIN,RELEASE,BILLED)",359,0.3682806729585556,Variant_11,4
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,BILLED)",314,0.32211735740664754,Variant_12,9
"(NEW,FIN,RELEASE,""CODE OK"",REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",273,0.2800574476815757,Variant_13,9
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,REOPEN,FIN,RELEASE,""CODE OK"",BILLED)",272,0.2790315962248666,Variant_14,13
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,STORNO,BILLED)",256,0.26261797291752154,Variant_15,8
"(NEW,FIN,RELEASE,""CODE NOK"",""SET STATUS"")",230,0.23594583504308575,Variant_16,5
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",REOPEN,DELETE)",229,0.23491998358637667,Variant_17,7
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,STORNO,BILLED)",214,0.21953221173574067,Variant_18,7
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE NOK"",""CODE OK"",BILLED)",206,0.21132540008206813,Variant_19,7
"(NEW,FIN,RELEASE,""CODE OK"",REOPEN,DELETE)",204,0.20927369716865,Variant_20,6
"(NEW,FIN,RELEASE,""CODE NOK"",REOPEN,DELETE)",176,0.18054985638079607,Variant_21,6
"(NEW,FIN,DELETE)",166,0.17029134181370537,Variant_22,3
"(NEW,FIN,RELEASE,""CODE OK"",BILLED,STORNO,REJECT,REOPEN,DELETE)",165,0.1692654903569963,Variant_23,9
"(NEW,""CHANGE DIAGN"",FIN,RELEASE,""CODE OK"",BILLED,""CODE OK"")",162,0.1661879359868691,Variant_24,7
